timestamp,src_ip,dst_ip,protocol,packet_size,duration,tcp_flags,byte_rate,connection_state,label,attack_cat,src_bytes,dst_bytes,flow_duration,protocol_type
2026-08-01T00:00:00Z,192.168.1.10,10.0.0.5,tcp,512,0.12,SYN,4266.67,established,normal,none,512,1024,120000,tcp
2026-08-01T00:01:00Z,192.168.1.11,10.0.0.5,tcp,1280,0.45,ACK,2844.44,established,normal,none,1280,4096,450000,tcp
2026-08-01T00:02:00Z,192.168.1.12,10.0.0.8,udp,128,0.02,NONE,6400.00,closed,normal,none,128,128,20000,udp
2026-08-01T00:03:00Z,192.168.1.13,10.0.0.12,icmp,64,0.01,NONE,6400.00,closed,normal,none,64,64,10000,icmp
2026-08-01T00:04:00Z,10.0.0.99,10.0.0.5,tcp,9800,0.01,SYN-ACK,980000.00,syn_sent,anomaly,DoS Hulk,9800,0,10000,tcp
2026-08-01T00:05:00Z,10.0.0.99,10.0.0.5,tcp,10240,0.01,SYN,1024000.00,syn_sent,anomaly,DoS Hulk,10240,0,10000,tcp
2026-08-01T00:06:00Z,192.168.1.15,10.0.0.5,tcp,64,0.001,FIN,64000.00,closed,anomaly,PortScan,64,0,1000,tcp
2026-08-01T00:07:00Z,192.168.1.15,10.0.0.6,tcp,64,0.001,FIN,64000.00,closed,anomaly,PortScan,64,0,1000,tcp
2026-08-01T00:08:00Z,192.168.1.15,10.0.0.7,tcp,64,0.001,FIN,64000.00,closed,anomaly,PortScan,64,0,1000,tcp
2026-08-01T00:09:00Z,0.0.0.0,10.0.0.5,udp,512,0.05,NONE,10240.00,closed,anomaly,Spoofing,512,0,50000,udp
2026-08-01T00:10:00Z,192.168.1.20,10.0.0.1,tcp,1420,0.85,ACK,1670.58,established,normal,none,1420,5120,850000,tcp
2026-08-01T00:11:00Z,192.168.1.21,10.0.0.2,tcp,2048,1.20,ACK,1706.66,established,normal,none,2048,8192,1200000,tcp
2026-08-01T00:12:00Z,10.0.0.100,10.0.0.5,udp,8192,0.02,NONE,409600.00,closed,anomaly,Jamming,8192,0,20000,udp
2026-08-01T00:13:00Z,192.168.1.25,10.0.0.3,tcp,850,0.30,ACK,2833.33,established,normal,none,850,2048,300000,tcp
2026-08-01T00:14:00Z,192.168.1.26,10.0.0.4,tcp,400,0.15,ACK,2666.66,established,normal,none,400,1024,150000,tcp
